CustomerID,CustomerName,City,Category,Price,Quantity,Discount,Email
1007,Customer_1007,Jaipur,Furniture,2857,2,0,customer1007@example.com
1011,Customer_1011,Indore,Furniture,669,1,5,customer1011@example.com
1086,Customer_1086,Indore,Grocery,2931,6,15,customer1086@example.com
1090,Customer_1090,Mumbai,Clothing,4254,5,15,customer1090@example.com
1020,Customer_1020,Jaipur,Furniture,4698,9,10,customer1020@example.com
1062,Customer_1062,Mumbai,Electronics,3854,10,0,customer1062@example.com
1065,Customer_1065,Bengaluru,Furniture,3689,9,10,customer1065@example.com
1097,Customer_1097,Mumbai,Furniture,2642,4,5,customer1097@example.com
1072,Customer_1072,Jaipur,Grocery,4619,7,0,customer1072@example.com
1077,Customer_1077,Lucknow,Grocery,1366,4,5,customer1077@example.com
1083,Customer_1083,Mumbai,Clothing,2976,9,15,customer1083@example.com
1084,Customer_1084,Lucknow,Clothing,326,2,10,customer1084@example.com
1087,Customer_1087,Indore,Sports,1047,7,5,customer1087@example.com
1088,Customer_1088,Bengaluru,Electronics,3672,1,5,customer1088@example.com
1094,Customer_1094,Pune,Grocery,4851,10,10,customer1094@example.com
1008,Customer_1008,Chennai,Electronics,3040,6,10,customer1008@example.com
1014,Customer_1014,Hyderabad,Furniture,2287,2,5,customer1014@example.com
1068,Customer_1068,Lucknow,Furniture,2331,5,5,customer1068@example.com
1069,Customer_1069,Hyderabad,Furniture,2262,9,15,customer1069@example.com
1074,Customer_1074,Hyderabad,Sports,4626,3,15,customer1074@example.com
1009,Customer_1009,Delhi,Grocery,4492,2,15,customer1009@example.com
1066,Customer_1066,Indore,Sports,164,9,10,customer1066@example.com
1075,Customer_1075,Jaipur,Electronics,2625,6,0,customer1075@example.com
1100,Customer_1100,Chennai,Grocery,3373,4,5,customer1100@example.com
1016,Customer_1016,Bengaluru,Sports,1899,6,0,customer1016@example.com
1095,Customer_1095,Kolkata,Grocery,3722,4,15,customer1095@example.com
1001,Customer_1001,Mumbai,Electronics,2353,4,5,customer1001@example.com
1070,Customer_1070,Bengaluru,Electronics,856,7,10,customer1070@example.com
1073,Customer_1073,Mumbai,Electronics,1321,9,0,customer1073@example.com
1085,Customer_1085,Jaipur,Sports,2274,1,0,customer1085@example.com
1004,Customer_1004,Lucknow,Sports,317,9,5,customer1004@example.com
1017,Customer_1017,Pune,Electronics,2684,7,10,customer1017@example.com
1067,Customer_1067,Mumbai,Furniture,2266,2,0,customer1067@example.com
1076,Customer_1076,Hyderabad,Furniture,2144,2,10,customer1076@example.com
1005,Customer_1005,Lucknow,Grocery,1905,8,10,customer1005@example.com
1010,Customer_1010,Mumbai,Sports,2501,10,10,customer1010@example.com
1015,Customer_1015,Lucknow,Furniture,1438,8,15,customer1015@example.com
1019,Customer_1019,Kolkata,Grocery,3858,3,10,customer1019@example.com
1064,Customer_1064,Jaipur,Clothing,663,4,10,customer1064@example.com
1079,Customer_1079,Chennai,Furniture,2285,3,0,customer1079@example.com
1081,Customer_1081,Kolkata,Clothing,2600,4,5,customer1081@example.com
1082,Customer_1082,Delhi,Furniture,3364,6,10,customer1082@example.com
1091,Customer_1091,Hyderabad,Grocery,2522,9,5,customer1091@example.com
1099,Customer_1099,Indore,Electronics,3830,7,5,customer1099@example.com
1078,Customer_1078,Jaipur,Grocery,303,3,10,customer1078@example.com
1080,Customer_1080,Chennai,Electronics,3955,4,5,customer1080@example.com
1092,Customer_1092,Pune,Grocery,3205,3,10,customer1092@example.com
1061,Customer_1061,Chennai,Furniture,2557,8,10,customer1061@example.com
1003,Customer_1003,Delhi,Electronics,867,4,5,customer1003@example.com
1093,Customer_1093,Chennai,Sports,103,5,10,customer1093@example.com
1002,Customer_1002,Jaipur,Electronics,4567,2,15,customer1002@example.com
1012,Customer_1012,Bengaluru,Electronics,2007,2,15,customer1012@example.com
1063,Customer_1063,Mumbai,Sports,1846,9,10,customer1063@example.com
1098,Customer_1098,Jaipur,Electronics,478,4,15,customer1098@example.com
1089,Customer_1089,Hyderabad,Grocery,673,6,10,customer1089@example.com
1096,Customer_1096,Jaipur,Electronics,2424,9,10,customer1096@example.com
1021,Customer_1021,Mumbai,Grocery,5265,1,10,customer1021@example.com
